NO (cm-1),Toluene,Toluene,T1,T2,T3 MPU,T3 PU,T4 -CSF,T4 -CCF,T4 -F,T5,T7,T9,T10-S,T10-R
601,60.27178,60.27178,91.7756921729795,73.1919470454714,64.9308215807711,61.0037485934873,72.7137685416598,71.2898911123179,65.769367922604,65.7099854290416,79.8354820143767,89.0724539547538,100,7.228577294881
604.33734,60.27178,60.27178,91.5486302937496,74.1080203718363,63.3095323465413,60.4245182035408,73.3361504587625,71.9015166253068,65.1630673470104,65.9027889160119,80.4248854554114,89.4267983580172,100,7.54567833653965
607.67467,60.27178,60.27178,91.3488539445079,74.7867134778635,61.519295899875,59.9009161823768,73.8734496496752,72.5131421382956,65.2843866230244,66.1231201970459,81.0143295085484,89.9129721356694,93.6200518378888,7.91942494413644
611.01201,60.27178,60.27178,91.184868589715,73.8801656687761,59.7121473087393,59.6054600086814,74.3837803380861,73.6086713159324,65.4057256193369,66.351776729535,81.6037329495832,90.3991459133215,76.0184967012252,8.42469828846198
614.34935,60.27178,60.27178,91.020883234922,72.9735637374316,57.6676943827755,59.310003834986,74.5492833990729,74.7375813736071,66.5770521858855,66.5973327444172,82.1931363906179,90.6845722319881,75.2934142318567,9.02555526576339
617.68669,60.85362,60.85362,90.8813936177744,72.0670159283443,55.6232414568116,59.0145476612907,74.7147864600597,75.7444691725498,68.701539657321,66.8487397771445,82.7825398316526,90.7544694806284,75.2934142318567,9.68958647453029
621.02402,61.43545,61.43545,90.7779671699381,72.0513204737392,53.3167083689913,58.7190567198648,74.845499087806,76.0006784857463,70.8260271287565,67.1071649190424,83.3719432726873,90.824347899191,80.9560556079171,10.4843717549418
624.36136,62.01729,62.01729,90.6745407221019,72.0392512103704,50.8942759834267,58.6798387198733,74.8853305838221,76.2568877989427,71.5900900918846,67.3689201615223,83.961346713722,90.8942451478313,77.6844368520264,11.3241027506369
627.6987,62.59913,62.59913,90.5931604381466,72.0271278247444,47.5873825809511,58.884099136496,74.9251620798382,76.1829802847303,71.8395321468752,67.6331496376123,84.4463364396806,90.9641423964717,73.3294062205466,12.284344689109
631.03604,63.18097,63.18097,90.548183542081,72.4913885475116,42.4285280506895,59.0883247853883,74.97668505478,75.4800592557967,72.0889742018658,67.8950604922689,84.8742661618733,91.0340208150342,85.8054901036758,12.6779041307437
634.37337,63.7628,63.7628,90.5032066460153,73.0301756185245,37.2696851359117,59.5310222977045,75.0406686848927,74.7771552405634,71.8368107456902,68.1559598677768,85.302195884066,91.038408223152,85.4115221489161,12.5097573222297
637.71071,64.34464,64.34464,90.4795274329581,73.5689626895372,35.7680121542546,60.3911064145409,75.1046523150053,74.3229574966832,71.5451080911389,68.4094209812369,85.7301256062587,90.8256471745563,82.436027332705,11.4576674801334
641.04805,64.92648,64.92648,90.4952455312805,74.2027884442967,34.4585405836792,66.069198319349,75.2462990789129,74.0734345677145,71.2336062569519,68.661217044406,86.1580553284514,90.6128672958829,78.3000117813384,10.1849923895246
644.38539,65.50832,65.50832,90.5110316733187,74.87168542176,33.5283842533461,72.7248197345853,75.4225706073313,73.8239286524462,70.7878091903762,68.9036763769713,86.5859850506441,90.4922418177606,78.3000117813384,8.87737724203818
647.72272,66.09016,66.09016,90.5413111267971,75.5406365214805,32.8730038087054,73.0274380607614,75.5988539692303,73.7755587024218,70.341992403502,69.144921934558,87.0139147728368,90.5205999148652,65.5718661639962,7.53542811900159
651.06006,66.67199,66.67199,90.6019380774695,76.2339967592248,32.271670210367,73.3300563869374,75.8570250175321,73.793201909659,69.8954065249886,69.3768463227585,87.4418851071319,90.5489580119698,65.5718661639962,6.14311044775158
654.3974,67.14058,67.14058,90.6626330718576,76.9437019186614,31.8776497675847,73.6326399453831,76.1244025138138,73.8108621305965,69.4472627428983,69.6066543853555,87.8698148293246,90.5773161090745,49.7911168708765,4.99040401662687
657.73473,67.56345,67.56345,90.7325820115784,77.6534070780978,31.4836293248025,73.9352582715592,76.3949868833636,73.981730722962,68.9990992405096,69.8269701051718,88.2977445515173,90.2635505233811,49.7911168708765,3.94692690918393
661.07207,67.98631,67.98631,90.8247812463272,78.365547739111,31.5928729503071,74.2378765977353,76.6925515888958,74.1594218091578,68.7338217858702,70.0440335304945,88.72567427371,89.9484856623223,49.7911168708765,4.19266276061828
664.40941,68.40918,68.40918,90.9169124373603,79.0804486352444,31.8004068000562,74.5404949239114,76.990116294428,74.350417609008,68.6281209862221,70.253580887681,89.1536039959027,89.6334208012636,42.616753063148,4.72694294461582
667.74675,66.96423,66.96423,91.0151675628047,79.7953495313778,34.6993527946267,74.699452987707,77.2844977936535,74.610267854074,68.5224399068724,70.4582109000828,89.5815337180954,89.3183559402048,39.6678251649387,5.91731857075935
671.08408,64.92007,64.92007,91.1298212237284,80.5047299572708,40.7140245586527,73.6196020464497,77.5717910379433,74.8701351128404,68.989298252184,70.6561807113205,90.0094634402881,89.003291079146,33.1038524976437,7.41881948933289
674.42142,62.87592,62.87592,91.2444748846522,81.2030694426829,46.3904185868391,72.5397511051924,77.8590842822331,75.1460462910133,69.6622139959141,70.8461520566743,90.4373931624808,88.6882450481651,25.2050541941564,9.12218802197273
677.75876,59.59141,59.59141,91.3623946439286,81.9013548058378,48.7800139995912,71.4599001639351,78.1286036385204,75.449723828117,70.3351494599427,71.0294943232992,90.8653228846735,88.3731801871063,20.1644674835061,9.47431418455497
681.0961,56.16686,56.16686,91.490589004273,82.591575952661,51.1696094123433,70.3800492226778,78.3815679553168,75.7534013652206,70.9162474941278,71.202659553566,91.2932932189686,88.0581153260476,14.9113454288407,9.52890758038435
684.43343,50.2148,50.2148,91.6187153209018,83.2494861119007,53.3414725805358,69.3001982814206,78.6345441055938,76.0702645200762,71.491153354602,71.3707985105243,91.7212229411613,87.7430504649888,14.9113454288407,8.97690217581013
687.77077,39.78027,39.78027,91.7473179435402,83.9073962711404,55.4299714212166,68.8072613985478,78.8527771565532,76.397080689622,72.0400087008347,71.5245122186995,92.1491526633539,87.42798560393,11.4952285579642,8.40162112166038
691.10811,29.34605,29.34605,91.8776216590708,84.561084894314,57.5079001716041,69.0501835314743,79.0578750439423,76.7238798454675,72.430391728789,71.6744289897626,92.5770823855467,87.1129207428713,15.2528275212064,7.8039434130767
694.44545,23.46242,23.46242,92.0079253746013,85.1539401003285,59.5662103697877,69.2930708966703,79.2629610978506,77.0582330842573,72.8207550364447,71.8039450044562,92.9747560915077,86.7978558818125,17.7663171536287,7.37457909676375
